size_sqmeters,decorated,no_rooms,price,type_of_building,market,district,floor_no,line_distance,price_per_sqmet
68,Tak,3,695 000,APARTAMENTOWIEC,wtórny,Wola,1,5.0637706953,10220.588235
281,Nie,7,2 500 000,APARTAMENTOWIEC,wtórny,Mokotów,5,7.3477978016,8896.797153
57,Nie,3,399 000,BLOK,wtórny,Ursus,3,10.125962652,7000
34,Tak,2,540 000,BLOK,wtórny,Śródmieście,11,0.4027972482,15882.352941
57,Tak,3,569 000,BLOK,wtórny,Bemowo,3,6.3973427942,9982.4561404
63,Unknown,3,425 000,BLOK,wtórny,Targówek,2,6.267809496,6746.031746
75,Tak,4,1 575 000,KAMIENICA,wtórny,Śródmieście,0,1.6417603113,21000
28,Nie,1,285 000,APARTAMENTOWIEC,pierwotny,Praga_Północ,4,4.8811971809,10178.571429
69,Unknown,3,790 000,OTHER,wtórny,Ochota,3,1.4037407451,11449.275362
90,Unknown,3,805 500,APARTAMENTOWIEC,wtórny,Wilanów,2,9.4775552243,8950
48,Unknown,2,580 000,APARTAMENTOWIEC,wtórny,Wola,7,3.2090392067,12083.333333
47,Nie,2,524 000,APARTAMENTOWIEC,pierwotny,Mokotów,2,6.3925084271,11148.93617
44,Unknown,2,450 000,BLOK,wtórny,Targówek,4,6.0462189908,10227.272727
59,Tak,3,495 000,BLOK,wtórny,Praga_Południe,4,6.553062533,8389.8305085
47,Tak,3,559 000,APARTAMENTOWIEC,wtórny,Wola,9,3.3273001623,11893.617021
54,Tak,2,385 000,BLOK,wtórny,Białołęka,0,13.121633659,7129.6296296
38,Tak,2,426 000,BLOK,wtórny,Mokotów,4,2.738311514,11210.526316
113,Unknown,4,1 158 000,APARTAMENTOWIEC,wtórny,Mokotów,3,6.9496722762,10247.787611
79,Tak,3,655 000,BLOK,wtórny,Praga_Południe,3,7.1894012441,8291.1392405
54,Tak,3,489 000,BLOK,wtórny,Targówek,0,5.0709007722,9055.5555556
76,Tak,3,699 900,APARTAMENTOWIEC,wtórny,Bielany,1,5.5251461904,9209.2105263
43,Tak,2,470 000,KAMIENICA,wtórny,Mokotów,2,3.9245730773,10930.232558
70,Unknown,2,885 000,KAMIENICA,wtórny,Śródmieście,3,2.1074531503,12642.857143
89,Unknown,3,1 250 000,APARTAMENTOWIEC,wtórny,Mokotów,3,3.297421274,14044.94382
87,Nie,4,699 000,BLOK,wtórny,Ochota,2,4.6254536314,8034.4827586
84,Nie,3,690 000,APARTAMENTOWIEC,pierwotny,Praga_Południe,4,4.1112463015,8214.2857143
44,Unknown,2,462 735,APARTAMENTOWIEC,wtórny,Mokotów,6,6.0298185821,10516.704545
187,Tak,5,2 720 000,APARTAMENTOWIEC,wtórny,Wilanów,0,8.6815653187,14545.454545
101,Unknown,4,989 000,BLOK,wtórny,Ursynów,1,9.4878045152,9792.0792079
